Organization,Repository,Stars
github,gitignore,130653
rails,rails,50335
github,hub,21609
sinatra,sinatra,11558
Shopify,dashing,11077
github,linguist,9622
Shopify,liquid,9392
thoughtbot,paperclip,9066
thoughtbot,factory_bot,7422
github,markup,5383
WebKit,WebKit-http,5074
rails,thor,4829
github,dmca,4751
collectiveidea,delayed_job,4697
thoughtbot,suspenders,3769
pluginaweek,state_machine,3715
thoughtbot,clearance,3486
basecamp,pow,3442
joyent,libuv,3291
thoughtbot,high_voltage,3094
